month,category,volume,value_cr,avg_ticket,mom_pct,overall_volume,momentum_score_3m,momentum_score_6m,momentum_score_12m,momentum_score,yoy_growth,avg_ticket_rolling_3m,rolling_12m_avg_vol,seasonality_index,volume_share_pct,volume_share_3m,volume_share_shift
2022-01-01,Bakeries,13480000,300.66,223.04154302670628,,1654879999,,,,,,223.04154302670628,13480000.0,1.0,0.8145605728600023,0.8145605728600023,
2022-02-01,Bakeries,13420000,312.35,232.74962742175856,-0.004451038575667643,1689810000,,,,,,227.89558522423243,13450000.0,0.9977695167286246,0.7941721258603038,0.8042598868069267,
2022-03-01,Bakeries,13160000,313.19,237.98632218844983,-0.019374068554396384,1969190000,,,,,,231.25916421230488,13353333.333333334,0.9855217174238642,0.6682950857966982,0.7538747583223322,
2022-05-01,Bakeries,27960000,531.77,190.189556509299,1.1246200607902734,2266570000,3.1471787657358634,,,3.1471787657358634,,220.30850203983582,17005000.0,1.6442222875624817,1.233582020409694,0.9204177825930671,
2022-06-01,Bakeries,44990000,773.35,171.8937541675928,0.6090844062947067,2225770000,18.05455908680257,,,18.05455908680257,,200.02321095511388,22602000.0,1.9905318113441288,2.0213229578977163,1.3326565070501877,
2022-07-01,Bakeries,58140000,908.81,156.3140694874441,0.2922871749277618,2606819999,13.532065836886545,,,13.532065836886545,,172.79912672144528,28525000.0,2.0382120946538125,2.2303035891355383,1.8465564942678507,
2022-08-01,Bakeries,65500000,1016.97,155.26259541984732,0.12659098727210183,2864530000,5.089253736906723,5.551162858077626,,5.089253736906723,,161.15680635829472,33807142.85714286,1.937460384534122,2.286588026657078,2.190819423653369,
2022-09-01,Bakeries,73830000,1087.91,147.35337938507382,0.12717557251908396,3075840000,1.6784362773591963,8.010020972655285,,1.6784362773591963,,152.9766814307884,38810000.0,1.9023447565060552,2.4003199126092385,2.3103499515408394,
2022-10-01,Bakeries,78030000,1303.11,167.00115340253743,0.056887444128403075,3321469999,1.247893152960411,8.271099282540849,,1.247893152960411,,156.53904273581952,43167777.777777776,1.8075982600190472,2.349261020677369,2.346833890711439,
2022-11-01,Bakeries,81510000,1205.59,147.90700527542631,0.044598231449442416,3362140000,1.4070654767958772,3.9623361147651157,,1.4070654767958772,,154.08717935434584,47002000.0,1.73418152419046,2.4243487778617188,2.3912208169918614,
2022-12-01,Bakeries,90810000,1445.48,159.17630216936462,0.11409642988590352,3638199999,1.2579232275693348,1.6049165039350108,,1.2579232275693348,,158.02815361577612,50984545.45454545,1.7811279710429186,2.4960145133571587,2.425446700225144,
2023-01-01,Bakeries,90900000,1373.38,151.0869086908691,0.0009910802775023875,3816780000,1.10603832786151,1.2139726324803584,,1.10603832786151,,152.72340537855334,54310833.333333336,1.6736992312767556,2.3815886689827552,2.4333648884761714,
2023-02-01,Bakeries,99620000,1481.92,148.75727765508935,0.09592959295929604,3503300000,5.291900880236623,2.3360201589720324,5.954395612388154,5.291900880236623,6.390207715133531,153.00682950510767,61489166.666666664,1.6201227858565872,2.8436046013758456,2.567282456970189,1.7527218841101866
2023-03-01,Bakeries,115190000,1639.71,142.3482941227537,0.15629391688415972,4094280000,2.141635543926265,1.691904922158597,7.027122957513523,2.141635543926265,7.583457526080476,147.39749348957073,69970000.0,1.6462769758467914,2.8134372832341707,2.6782929572923933,1.8740330704854666
2023-04-01,Bakeries,117000000,1657.14,141.63589743589745,0.015713169545967576,4284440000,2.343384357680519,1.7226076635979082,7.4532307676347465,2.343384357680519,7.890577507598785,144.24715640458018,78623333.33333333,1.4881078560223853,2.7308119614231967,2.7925386424193865,2.0386638840970543
2023-05-01,Bakeries,128490000,1843.19,143.45007393571484,0.09820512820512817,4560889999,0.9599757010017991,1.616550562581381,3.5520057563459533,0.9599757010017991,3.59549356223176,142.478088498122,87000833.33333333,1.476882405340945,2.8172133076696024,2.7874101308144072,1.8669923482213402
2023-06-01,Bakeries,131740000,1855.44,140.84105055412175,0.025293797182660116,4521420000,1.3771793954669946,1.856631621965782,1.8695113215250345,1.3771793954669946,1.9282062680595686,141.9756739752447,94230000.0,1.398068555661679,2.913686408252275,2.8221519818072567,1.489495474757069
2023-07-01,Bakeries,131860000,1902.37,144.27195510389808,0.0009108850766661458,4837410000,0.9840687544447232,1.6850968351295614,1.4818409501940395,0.9840687544447232,1.2679738562091503,142.8543598645782,100373333.33333333,1.3136955366631244,2.7258388269755924,2.816795165622354,0.9702386713545033
2023-08-01,Bakeries,138790000,2013.94,145.10699618128106,0.05255574093735782,5171870000,0.5983985033419872,0.825543442999819,1.3891373920744268,0.5983985033419872,1.1189312977099237,143.40666727976696,106480833.33333333,1.3034270643386525,2.683555464464497,2.769240298127413,0.5784208744740438
2023-09-01,Bakeries,134990000,1931.35,143.0735610045189,-0.02737949419987029,5155920000,0.17579597466318186,0.6629040595232237,1.2249498546308217,0.17579597466318186,0.828389543545984,144.15083742989933,111577500.0,1.2098317313078353,2.618155440736086,2.6748081133120567,0.36445816177121726
2023-10-01,Bakeries,144490000,2069.01,143.1939926638522,0.07037558337654648,5560970000,0.6403665337095702,0.788591184126894,1.2632171031417074,0.6403665337095702,0.8517236960143535,143.7915166165507,117115833.33333333,1.2337358313350744,2.5982877087990044,2.6324898859319417,0.28565599522050267
2023-11-01,Bakeries,139540000,2199.23,157.60570445750324,-0.03425842618866359,5416870000,0.11407345703610186,0.4582251571368639,1.16493772382022,0.11407345703610186,0.7119371856213961,147.95775270862478,121951666.66666667,1.1442238045127167,2.576026376856007,2.5971627196636122,0.20594190267175083
2023-12-01,Bakeries,154900000,2385.9,154.02840542285347,0.11007596388132446,5822200000,1.1413505587741215,0.6110713130926085,1.1756837920919003,1.1413505587741215,0.7057592776125978,151.6093675147363,127292500.0,1.2168823772021133,2.6605063378104497,2.612672350780117,0.18722565055497276
2024-01-01,Bakeries,152350000,2220.59,145.7558254020348,-0.016462233699160778,5990770000,0.703831817955942,0.6517437867302389,1.186854797881409,0.703831817955942,0.676017601760176,152.46331176079718,132413333.33333333,1.1505638908468432,2.5430787695070918,2.59311752169492,0.15975263321874866
2024-02-01,Bakeries,156750000,2201.03,140.4165869218501,0.028880866425992746,5892520000,1.4045689504857606,0.9286912752843749,0.8408893928015264,1.4045689504857606,0.5734792210399517,146.73360591557943,137174166.66666666,1.1427078713800582,2.660152192949706,2.620656078990189,0.05337362202000007
2024-03-01,Bakeries,175930000,2490.28,141.54947990678113,0.12236044657097289,6642159999,0.9640117083080353,1.0521156141729227,0.847341699777342,0.9640117083080353,0.5273027172497613,142.57396407688867,142235833.33333334,1.2368894383154736,2.6486865722368456,2.618182014613312,-0.06011094267908135
2024-05-01,Bakeries,190120000,2711.74,142.63307384809593,0.08065707952026369,7113069998,1.3233606306054,1.1314712715045858,0.9466037997782362,1.3233606306054,0.624957264957265,141.5330468922424,148329166.66666666,1.2817438692098093,2.6728262206537616,2.660864475982369,-0.13167416643701735
2024-06-01,Bakeries,189540000,2711.38,143.05054342091378,-0.0030507048180097307,7028990000,1.084618371930914,1.203988483667351,0.878017525971291,1.084618371930914,0.4751342516927388,142.41103239193026,153416666.66666666,1.235458989679522,2.6965467300422965,2.673133752819177,-0.11427637799523005
2024-07-01,Bakeries,196340000,2776.43,141.4092900071305,0.03587633217262853,7283549998,1.2014072572938745,1.0658625559654635,0.8026858282328098,1.2014072572938745,0.4903597996052831,142.36430242538006,158800000.0,1.23639798488665,2.6956635164708596,2.688371533447752,-0.13378044835950487
2024-08-01,Bakeries,210410000,3040.91,144.52307399838412,0.07166140368748097,7596989998,1.5686922552735931,1.4213865138210895,1.0442464982611062,1.5686922552735931,0.595707568633399,142.99430247547613,165345833.33333334,1.2725449184789455,2.7696495593043164,2.721601057205992,-0.09519410841636189
2024-09-01,Bakeries,207960000,2975.85,143.09723023658395,-0.0116439332731334,7622109999,1.151699311137777,1.1130255302992884,1.0519584211994761,1.151699311137777,0.4983788457381655,143.0098647473662,171110000.0,1.2153585412892292,2.7283783627799094,2.731722708821344,-0.03751758930606908
2024-10-01,Bakeries,221890000,3508.9,158.13691468745776,0.0669840353914215,8334950000,0.9014823955526409,1.0250531040632227,1.044070254615554,0.9014823955526409,0.6437513889917772,148.5857396408086,178351666.66666666,1.2441150909719563,2.662163540273187,2.7182586437642264,0.04345053045216973
2024-11-01,Bakeries,209030000,3135.49,150.0019136009185,-0.0579566451845509,7796569999,-0.2496532615529455,1.0350999466196813,1.111085861922517,-0.2496532615529455,0.4466745103467369,150.41201950832007,183730000.0,1.1377020628095575,2.6810507701054505,2.6896099672083476,0.05712008127640589
